School Name,Student Count,"Standardized Test required? (1:Required, 2:Recommended, 3:Neither required nor recommended , 4:Do not know, 5: Considered but not required)",Admission Rate,4Yr Uni Completion Rates,% White Students,% Hispanic Students,% Black Students,% AIAN Students,% Female Students,% Male Students
Alabama A & M University,5098.0,5.0,71.6,28.07,1.8399999999999999,1.1400000000000001,89.78,0.27,59.4,40.6
University of Alabama at Birmingham,13284.0,5.0,88.53999999999999,62.45,52.96999999999999,6.69,24.58,0.21,62.1,37.9
Amridge University,251.0,0.0,0.0,44.440000000000005,24.7,4.38,69.32000000000001,0.0,68.53,31.47
University of Alabama in Huntsville,7358.0,1.0,73.67,60.72,71.96000000000001,6.1,8.709999999999999,0.8,40.47,59.53000000000001
Alabama State University,3495.0,5.0,97.99,28.43,1.52,1.29,92.58999999999999,0.16999999999999998,64.95,35.05
The University of Alabama,30725.0,5.0,78.9,72.23,76.75999999999999,5.489999999999999,10.5,0.37,56.15,43.85
Central Alabama Community College,940.0,0.0,0.0,0.0,72.45,2.87,19.470000000000002,0.21,60.85,39.15
Athens State University,2511.0,0.0,0.0,0.0,76.34,4.26,12.43,1.31,70.49,29.509999999999998
Auburn University at Montgomery,3742.0,1.0,96.8,35.69,41.29,1.31,44.87,0.4,66.86,33.14
Auburn University,24782.0,2.0,71.17999999999999,80.88,81.81,3.82,4.61,0.27,49.53,50.470000000000006
Birmingham-Southern College,1048.0,5.0,65.91,69.84,72.89999999999999,5.7299999999999995,16.03,0.38,51.05,48.949999999999996
Chattahoochee Valley Community College,1107.0,0.0,0.0,0.0,34.06,6.41,48.33,0.18,65.94,34.06
South University-Montgomery,337.0,0.0,0.0,10.71,25.82,2.37,68.84,0.0,84.57000000000001,15.43
Enterprise State Community College,1336.0,0.0,0.0,0.0,61.980000000000004,5.84,19.91,0.75,47.23,52.769999999999996
Coastal Alabama Community College,5217.0,0.0,0.0,0.0,63.959999999999994,3.39,23.75,1.55,64.08,35.92
Faulkner University,1696.0,5.0,64.60000000000001,18.509999999999998,45.989999999999995,3.18,41.33,0.18,57.13,42.870000000000005
Gadsden State Community College,3513.0,0.0,0.0,0.0,68.12,6.03,20.24,0.26,62.53999999999999,37.46
New Beginning College of Cosmetology,57.0,0.0,0.0,0.0,84.21,15.790000000000001,0.0,0.0,96.49,3.51
George C Wallace Community College-Dothan,3191.0,0.0,0.0,0.0,55.44,5.33,32.31,0.25,70.23,29.770000000000003
George C Wallace State Community College-Hanceville,4303.0,0.0,0.0,0.0,79.80000000000001,7.85,7.340000000000001,0.6,67.67,32.33
George C Wallace State Community College-Selma,942.0,0.0,0.0,0.0,16.45,1.38,78.34,0.0,66.77,33.23
Herzing University-Birmingham,608.0,3.0,93.85,39.129999999999995,30.59,2.63,61.51,0.16,76.64,23.36
Huntingdon College,838.0,5.0,69.3,44.22,65.99000000000001,6.32,20.169999999999998,0.48,44.87,55.13
Heritage Christian University,71.0,0.0,0.0,0.0,88.73,4.2299999999999995,5.63,0.0,11.27,88.73
J. F. Drake State Community and Technical College,688.0,0.0,0.0,0.0,22.53,3.49,66.86,1.31,58.14,41.86
J F Ingram State Technical College,400.0,0.0,0.0,0.0,43.5,1.0,54.75,0.0,24.25,75.75
Jacksonville State University,6992.0,5.0,76.34,49.66,62.6,0.37,25.41,0.54,60.77,39.23
Jefferson State Community College,6143.0,0.0,0.0,0.0,59.81999999999999,6.98,25.590000000000003,0.21,64.4,35.6
John C Calhoun State Community College,6795.0,0.0,0.0,0.0,62.35000000000001,8.459999999999999,18.12,1.32,56.79,43.21
Lawson State Community College,2779.0,0.0,0.0,0.0,12.23,3.38,80.35,0.13999999999999999,66.17,33.83
University of West Alabama,2310.0,1.0,74.33,39.14,44.72,2.25,38.66,1.17,69.57,30.43
Lurleen B Wallace Community College,1129.0,0.0,0.0,0.0,68.11,2.5700000000000003,24.36,0.44,65.10000000000001,34.9
Marion Military Institute,314.0,1.0,45.35,0.0,59.550000000000004,7.32,21.34,0.96,26.11,73.89
Miles College,1517.0,0.0,0.0,23.880000000000003,3.4299999999999997,0.9199999999999999,94.26,0.06999999999999999,53.39,46.61
University of Mobile,1112.0,2.0,64.09,51.41,64.48,0.36,15.920000000000002,2.25,65.64999999999999,34.35
University of Montevallo,2184.0,5.0,90.09,51.7,66.8,6.0,16.939999999999998,0.32,63.92,36.08
Northwest-Shoals Community College,2095.0,0.0,0.0,0.0,74.37,8.93,11.690000000000001,0.67,62.91,37.09
University of North Alabama,5165.0,2.0,89.97,51.21,73.44000000000001,4.26,12.1,0.52,63.63999999999999,36.36
Northeast Alabama Community College,1565.0,0.0,0.0,0.0,72.65,14.82,2.56,1.66,67.28,32.72
Oakwood University,1353.0,2.0,71.85000000000001,49.11,0.15,8.28,80.04,0.15,56.61000000000001,43.39
Reid State Technical College,254.0,0.0,0.0,0.0,30.709999999999997,1.18,65.75,0.0,64.96,35.04
Bishop State Community College,1885.0,0.0,0.0,0.0,21.59,2.92,67.27,0.58,67.47999999999999,32.519999999999996
Samford University,3604.0,5.0,83.87,78.91,85.13,4.02,6.02,0.11,66.7,33.300000000000004
Shelton State Community College,4018.0,0.0,0.0,0.0,51.42,3.29,41.24,0.4,61.31999999999999,38.68
Snead State Community College,1537.0,0.0,0.0,0.0,69.16,17.57,6.7,0.33,62.78,37.22
University of South Alabama,8631.0,1.0,70.78,47.410000000000004,60.129999999999995,4.67,22.33,0.66,61.29,38.71
Spring Hill College,989.0,5.0,71.52,56.38999999999999,62.89,8.49,14.05,0.61,58.540000000000006,41.46
Stillman College,721.0,3.0,75.8,14.66,5.96,0.5499999999999999,92.78999999999999,0.5499999999999999,56.589999999999996,43.41
Talladega College,1144.0,0.0,0.0,24.58,2.97,4.63,84.44,0.26,50.7,49.3
H Councill Trenholm State Community College,1522.0,0.0,0.0,0.0,18.27,3.2199999999999998,73.98,0.26,60.45,39.550000000000004
Troy University,10916.0,1.0,95.27,51.83,52.96999999999999,4.53,32.690000000000005,0.29,65.01,34.99
Tuskegee University,2184.0,1.0,34.2,56.97,0.7799999999999999,0.41000000000000003,90.93,0.41000000000000003,62.63999999999999,37.36
United States Sports Academy,68.0,3.0,100.0,0.0,48.53,13.239999999999998,22.06,1.47,26.47,73.53
Bevill State Community College,2291.0,0.0,0.0,0.0,73.24000000000001,2.71,18.55,0.13,63.160000000000004,36.84
University of Alaska Anchorage,7284.0,2.0,69.05,30.470000000000002,49.419999999999995,10.01,3.39,5.63,60.629999999999995,39.37
Alaska Bible College,37.0,0.0,0.0,50.0,89.19,0.0,2.7,0.0,32.43,67.57
University of Alaska Fairbanks,4108.0,1.0,64.69,38.45,52.410000000000004,8.59,3.6999999999999997,14.46,59.08,40.92
University of Alaska Southeast,999.0,2.0,56.25,30.34,56.26,8.01,0.8999999999999999,12.21,68.17,31.830000000000002
Alaska Pacific University,347.0,3.0,96.03,22.220000000000002,30.55,10.37,3.17,23.34,77.81,22.189999999999998
Alaska Vocational Technical Center,259.0,0.0,0.0,0.0,48.65,2.32,0.38999999999999996,24.709999999999997,25.480000000000004,74.52
Charter College,2215.0,0.0,0.0,51.99,37.38,13.59,5.19,10.25,74.27,25.729999999999997
Alaska Career College,317.0,0.0,0.0,0.0,31.86,9.15,9.15,18.61,86.75,13.25
Empire Beauty School-Tucson,138.0,0.0,0.0,0.0,23.189999999999998,49.28,8.7,0.72,96.38,3.62
Carrington College-Phoenix North,1281.0,0.0,0.0,0.0,21.08,54.33,8.98,4.06,79.55,20.45
Carrington College-Mesa,591.0,0.0,0.0,0.0,26.900000000000002,43.82,7.95,8.97,88.83,11.17
Carrington College-Tucson,517.0,0.0,0.0,0.0,18.57,63.06,7.739999999999999,1.7399999999999998,84.53,15.47
Arizona Academy of Beauty,48.0,0.0,0.0,0.0,25.0,47.92,12.5,2.08,93.75,6.25
Miller-Motte College-Arizona Automotive Institute,398.0,0.0,0.0,0.0,29.9,38.940000000000005,12.809999999999999,11.559999999999999,9.8,90.2
Brookline College-Phoenix,1000.0,0.0,0.0,57.85,26.1,30.2,12.7,5.7,87.7,12.3
Arizona State University Campus Immersion,64216.0,3.0,88.19,66.02,46.37,26.200000000000003,4.3999999999999995,1.1400000000000001,49.68,50.32
Arizona Western College,7388.0,0.0,0.0,0.0,11.74,69.13,1.1900000000000002,0.95,58.809999999999995,41.19
University of Arizona,36560.0,5.0,87.27000000000001,64.34,49.63,28.42,4.06,1.28,56.02,43.980000000000004
Central Arizona College,4388.0,0.0,0.0,0.0,40.88,37.31,6.239999999999999,3.6700000000000004,63.129999999999995,36.870000000000005
Charles of Italy Beauty College,56.0,0.0,0.0,0.0,60.709999999999994,19.64,1.79,5.36,94.64,5.36
Cochise County Community College District,2922.0,0.0,0.0,0.0,35.97,49.419999999999995,5.3,0.89,58.209999999999994,41.79
Empire Beauty School-Chandler,43.0,0.0,0.0,0.0,30.23,11.63,25.580000000000002,2.33,95.35,4.65
Avalon Institute-Mesa,377.0,0.0,0.0,0.0,37.93,37.93,11.41,2.39,97.08,2.92
Eastern Arizona College,3187.0,0.0,0.0,0.0,61.529999999999994,22.939999999999998,2.1,6.239999999999999,59.27,40.73
Embry-Riddle Aeronautical University-Prescott,3015.0,5.0,73.76,69.89999999999999,58.64,15.160000000000002,2.02,0.63,26.669999999999998,73.33
The School of Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glendale Community College,10528.0,0.0,0.0,0.0,37.49,42.199999999999996,6.660000000000001,1.3599999999999999,56.18,43.82
Grand Canyon University,64210.0,2.0,82.84,44.74,48.55,23.02,14.99,0.95,70.77,29.23
GateWay Community College,3691.0,0.0,0.0,0.0,28.499999999999996,47.870000000000005,10.84,3.2199999999999998,67.0,33.0
Mesa Community College,12167.0,0.0,0.0,0.0,44.519999999999996,33.6,5.93,3.4099999999999997,54.06999999999999,45.93
Mohave Community College,2622.0,0.0,0.0,0.0,64.72,24.75,1.3299999999999998,2.06,69.67999999999999,30.320000000000004
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,779.0,0.0,0.0,0.0,60.980000000000004,15.28,4.88,2.18,6.800000000000001,93.2
Dine College,1224.0,0.0,0.0,5.88,0.8999999999999999,0.33,0.25,97.96000000000001,76.47,23.53
Northern Arizona University,23772.0,2.0,78.35,59.0,56.02,26.08,3.09,2.83,63.54,36.46
Northland Pioneer College,1124.0,0.0,0.0,0.0,42.35,12.01,0.09,38.879999999999995,69.04,30.959999999999997
Ottawa University-Phoenix,348.0,0.0,0.0,0.0,48.559999999999995,31.319999999999997,7.180000000000001,2.01,75.57000000000001,24.43
Phoenix College,6674.0,0.0,0.0,0.0,22.06,56.410000000000004,9.47,2.5,66.06,33.94
Pima Community College,13128.0,0.0,0.0,0.0,35.370000000000005,49.11,4.91,1.97,58.91,41.089999999999996
Pima Medical Institute-Tucson,2485.0,0.0,0.0,66.51,35.13,39.11,8.61,2.25,81.97,18.029999999999998
Pima Medical Institute-Albuquerque,782.0,0.0,0.0,0.0,16.619999999999997,48.72,2.0500000000000003,21.740000000000002,83.89,16.11
Prescott College,383.0,3.0,99.32,40.0,67.89,4.44,2.87,2.35,65.53999999999999,34.46
Refrigeration School Inc,1007.0,0.0,0.0,0.0,34.56,32.97,10.530000000000001,15.590000000000002,7.249999999999999,92.75
Rio Salado College,3824.0,0.0,0.0,0.0,46.03,31.540000000000003,10.15,1.9900000000000002,64.25,35.75
Roberto-Venn School of Luthiery,12.0,0.0,0.0,0.0,91.67,0.0,0.0,0.0,0.0,100.0
Scottsdale Community College,4764.0,0.0,0.0,0.0,52.669999999999995,26.55,5.1,4.32,57.35,42.65
South Mountain Community College,2395.0,0.0,0.0,0.0,14.95,57.54,14.57,3.55,59.29,40.71
Arizona Christian University,1012.0,5.0,75.94,35.83,46.339999999999996,28.060000000000002,10.67,1.48,38.74,61.260000000000005
Universal Technical Institute of Arizona Inc,1995.0,0.0,0.0,0.0,26.919999999999998,21.349999999999998,2.41,3.8600000000000003,4.41,95.59
Yavapai College,4004.0,0.0,0.0,0.0,62.160000000000004,21.45,1.25,2.4,60.14000000000001,39.86
University of Arkansas at Little Rock,5025.0,1.0,57.69,39.879999999999995,49.17,2.8899999999999997,25.21,0.9199999999999999,64.16,35.839999999999996
University of Arkansas for Medical Sciences,1072.0,0.0,0.0,0.0,64.27000000000001,8.49,11.85,0.27999999999999997,85.45,14.549999999999999
Arkansas Baptist College,414.0,0.0,0.0,9.17,8.21,3.38,79.71000000000001,0.24,21.740000000000002,78.25999999999999
Arkansas Beauty School-Little Rock,28.0,0.0,0.0,0.0,21.43,21.43,57.14,0.0,92.86,7.140000000000001
Arkansas Beauty College,33.0,0.0,0.0,0.0,75.76,18.18,3.0300000000000002,0.0,100.0,0.0
Lyon College,576.0,5.0,27.21,45.540000000000006,57.47,9.55,6.419999999999999,1.04,41.15,58.85
Arkansas Technical School,62.0,0.0,0.0,0.0,11.29,3.2300000000000004,85.48,0.0,24.19,75.81
Arthur's Beauty College,25.0,0.0,0.0,0.0,76.0,8.0,12.0,4.0,96.0,4.0
University of Arkansas,24001.0,1.0,82.67,69.67999999999999,73.87,10.39,4.46,0.77,56.08,43.919999999999995
University of Arkansas at Pine Bluff,2444.0,1.0,67.53,40.75,2.86,2.21,90.42999999999999,0.53,59.12,40.88
Arkansas State University-Beebe,1787.0,0.0,0.0,0.0,84.28,5.26,5.71,0.5,63.46000000000001,36.54
Arkansas State University,7478.0,1.0,63.29,53.839999999999996,71.13000000000001,4.44,14.000000000000002,0.27999999999999997,62.72,37.28
Arkansas Tech University,6467.0,2.0,94.37,45.78,72.99,9.71,7.21,0.76,55.900000000000006,44.1
University of Arkansas at Monticello,1946.0,0.0,0.0,33.01,52.059999999999995,7.04,29.29,0.15,58.53,41.47
Arthur's Beauty College,38.0,0.0,0.0,0.0,68.42,2.63,28.95,0.0,100.0,0.0
Baptist Health College Little Rock,666.0,1.0,0.0,0.0,59.61,6.460000000000001,28.83,0.44999999999999996,87.83999999999999,12.16
Black River Technical College,1068.0,0.0,0.0,0.0,89.79,3.65,3.09,0.09,68.26,31.740000000000002
University of Central Arkansas,7763.0,5.0,92.36999999999999,49.4,65.71000000000001,6.419999999999999,16.71,0.3,61.57,38.43
Central Baptist College,546.0,1.0,61.6,38.89,61.9,9.71,15.75,1.28,45.24,54.76
Cossatot Community College of the University of Arkansas,858.0,0.0,0.0,0.0,52.1,26.810000000000002,15.15,1.05,69.11,30.89
Crowley's Ridge College,170.0,0.0,0.0,23.080000000000002,77.64999999999999,1.18,19.41,0.0,44.12,55.879999999999995
East Arkansas Community College,606.0,0.0,0.0,0.0,48.84,2.31,44.72,0.33,72.44,27.560000000000002
Eastern College of Health Vocations-Little Rock,62.0,0.0,0.0,0.0,16.13,3.2300000000000004,80.65,0.0,98.39,1.6099999999999999
Paul Mitchell the School-Little Rock,330.0,0.0,0.0,0.0,60.3,9.700000000000001,22.73,3.64,93.64,6.36
National Park College,1903.0,0.0,0.0,0.0,71.83,11.559999999999999,11.61,1.63,62.11,37.89
University of Arkansas Community College-Batesville,698.0,0.0,0.0,0.0,81.95,8.02,2.58,0.72,69.77,30.23
Harding University,3262.0,1.0,54.14,67.17,79.61,3.8899999999999997,5.1499999999999995,0.37,55.82,44.18
Henderson State University,2205.0,1.0,75.01,37.2,64.53999999999999,6.529999999999999,17.549999999999997,0.27,52.739999999999995,47.260000000000005
Hendrix College,1103.0,5.0,68.30000000000001,72.89,68.89999999999999,9.43,7.5200000000000005,0.54,51.129999999999995,48.870000000000005
Hot Springs Beauty College,85.0,0.0,0.0,0.0,80.0,4.71,14.12,0.0,96.47,3.53
Jefferson Regional School of Nursing,66.0,0.0,0.0,0.0,63.63999999999999,6.0600000000000005,30.3,0.0,87.88,12.120000000000001
John Brown University,1381.0,5.0,52.87,70.39,71.47,7.6,1.52,1.59,59.809999999999995,40.19
Career Academy of Hair Design,196.0,0.0,0.0,0.0,65.31,18.88,9.69,5.609999999999999,98.98,1.02
Academy of Salon and Spa,53.0,0.0,0.0,0.0,67.92,13.209999999999999,7.55,7.55,100.0,0.0
Arkansas State University Mid-South,525.0,0.0,0.0,0.0,34.1,5.140000000000001,54.1,0.38,65.14,34.86
Arkansas Northeastern College,786.0,0.0,0.0,0.0,60.050000000000004,5.09,32.95,0.38,65.78,34.22
New Tyler Barber College Inc,33.0,0.0,0.0,0.0,0.0,3.0300000000000002,96.97,0.0,33.33,66.67
North Arkansas College,1161.0,0.0,0.0,0.0,82.0,8.01,2.41,0.09,62.019999999999996,37.980000000000004
Northwest Technical Institute,155.0,0.0,0.0,0.0,47.099999999999994,36.13,3.2300000000000004,1.29,31.61,68.39
Ouachita Baptist University,1572.0,3.0,73.75,66.75,79.64,5.7299999999999995,7.76,0.25,57.379999999999995,42.620000000000005
Arkansas State University Three Rivers,424.0,0.0,0.0,0.0,63.21,5.66,24.060000000000002,0.24,71.93,28.07
Ozarka College,627.0,0.0,0.0,0.0,95.22,1.59,1.59,0.8,75.44,24.560000000000002
University of the Ozarks,775.0,5.0,55.37,48.8,41.29,13.03,5.42,0.8999999999999999,52.65,47.349999999999994
University of Arkansas Community College-Morrilton,1586.0,2.0,100.0,0.0,72.13000000000001,11.03,8.450000000000001,0.19,62.739999999999995,37.26
Philander Smith College,709.0,0.0,0.0,28.24,0.27999999999999997,1.41,90.41,0.0,63.89,36.11
Phillips Community College of the University of Arkansas,611.0,0.0,0.0,0.0,39.77,2.9499999999999997,55.32,0.16,69.07,30.930000000000003
Southeast Arkansas College,808.0,0.0,0.0,0.0,19.43,22.03,56.68,0.25,73.50999999999999,26.490000000000002
Professional Cosmetology Education Center,37.0,0.0,0.0,0.0,56.76,2.7,37.84,0.0,100.0,0.0
University of Arkansas-Pulaski Technical College,4110.0,0.0,0.0,0.0,41.870000000000005,6.69,39.0,0.36,66.59,33.410000000000004
University of Arkansas Hope-Texarkana,760.0,0.0,0.0,0.0,54.339999999999996,10.0,32.76,0.13,75.0,25.0
University of Arkansas Community College Rich Mountain,529.0,0.0,0.0,0.0,76.37,9.64,2.8400000000000003,2.27,62.0,38.0
Paul Mitchell the School-Arkansas,118.0,0.0,0.0,0.0,80.51,12.709999999999999,3.39,3.39,98.31,1.69
Searcy Beauty College,84.0,0.0,0.0,0.0,85.71,3.5700000000000003,8.33,1.1900000000000002,98.81,1.1900000000000002
Shorter College,245.0,0.0,0.0,0.0,20.41,1.22,76.73,0.41000000000000003,69.39,30.61
Williams Baptist University,593.0,1.0,64.1,31.75,75.38,3.37,10.459999999999999,0.51,51.43,48.57
South Arkansas Community College,889.0,0.0,0.0,0.0,50.96000000000001,5.62,37.68,0.22,72.55,27.450000000000003
Southern Arkansas University Main Campus,2795.0,1.0,62.6,40.08,60.97,5.04,21.14,0.29,55.559999999999995,44.440000000000005
Southern Arkansas University Tech,725.0,0.0,0.0,0.0,47.03,4.41,42.21,0.13999999999999999,54.339999999999996,45.660000000000004
Velvatex College of Beauty Culture,15.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
University of Arkansas-Fort Smith,4188.0,0.0,0.0,26.290000000000003,60.86,15.379999999999999,3.75,2.36,60.699999999999996,39.300000000000004
Academy of Art University,5294.0,0.0,0.0,38.019999999999996,20.549999999999997,14.6,9.5,0.44999999999999996,56.57,43.43
Academy of Chinese Culture and Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
College of Alameda,3629.0,0.0,0.0,0.0,17.69,25.080000000000002,18.3,0.08,57.010000000000005,42.99
Allan Hancock College,7389.0,0.0,0.0,0.0,21.37,67.07,2.02,0.35000000000000003,55.510000000000005,44.49
American Academy of Dramatic Arts-Los Angeles,217.0,3.0,90.27,0.0,41.010000000000005,12.44,9.22,0.9199999999999999,54.84,45.16
Berkeley School of Theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
